Time [ms], Thrust [N]
512,  1519.6185006475218
513,  1529.602401597954
514,  1539.5873423893236
515,  1549.7419637177843
516,  1560.2409541058132
517,  1571.1581181994954
518,  1582.5146509157723
519,  1594.3873255065205
520,  1606.7023191921835
521,  1619.3540913123468
522,  1632.2074499018725
523,  1645.1605959696014
524,  1658.080511117096
525,  1670.823161755411
526,  1683.2696102635887
527,  1695.3739343571986
528,  1707.1404098833073
529,  1718.563333618014
530,  1729.7077815897774
531,  1740.6969262375958
532,  1751.6765961425565
533,  1762.817841335495
534,  1774.2307868340395
535,  1786.0974343909656
536,  1798.5560531785256
537,  1811.6525664936025
538,  1825.41601148719
539,  1839.8496106956848
540,  1854.8838490707665
541,  1870.4017726116404
542,  1886.2697826887056
543,  1902.3218708299855
544,  1918.398003338532
545,  1934.3498496642399
546,  1950.0458091699654
547,  1965.3833344266031
548,  1980.3177511612705
549,  1994.8654898593381
550,  2009.0281420627307
551,  2022.8900652013865
552,  2036.542857297179
553,  2050.0782673174135
554,  2063.6023687621237
555,  2077.2011243673023
556,  2090.9399662631477
557,  2104.8738248067807
558,  2119.0191986676236
559,  2133.3637880719907
560,  2147.8999973054606
561,  2162.5884106656713
562,  2177.372435351698
563,  2192.209725224237
564,  2207.0988168191916
565,  2221.9662886507153
566,  2236.8111575107105
567,  2251.5811366957437
568,  2266.3040679692194
569,  2280.9874971031613
570,  2295.567706629984
571,  2310.072816736575
572,  2324.5038184113355
573,  2338.856782021253
574,  2353.0888227964215
574,  2367.1589133514894
575,  2381.0496878589265
576,  2394.735837353928
577,  2408.151533919865
578,  2421.212283683335
579,  2433.9071390395115
580,  2446.189210621992
581,  2457.9868187136676
582,  2469.2724506623094
583,  2480.00871219455
584,  2490.2133526443367
585,  2499.89212458072
586,  2509.0376595350945
587,  2517.729780248652
588,  2526.05307889853
589,  2534.062322806846
590,  2541.845105955196
591,  2549.52157707706
592,  2557.159866653439
593,  2564.839687882488
594,  2572.615202532607
595,  2580.523483732342
596,  2588.567101354912
597,  2596.7452647860505
598,  2604.9869107505106
599,  2613.230065006612
